478139,4924381,973
479726,4924354,981
482606,4924291,949
482092,4924316,969
479694,4924421,967
478305,4924649,973
479097,4925626,976
479831,4926546,968
479912,4927129,972
478171,4927230,979
479913,4927348,955
478406,4927375,977
477878,4927416,984
478347,4928691,959
478393,4928628,971
478536,4927706,971
478692,4928362,961
478735,4928113,964
479084,4928697,970
479146,4928173,973
479325,4928727,964
479442,4927769,954
479550,4927748,966
479546,4927655,966
479909,4927428,968
479393,4927955,971
480202,4925811,968
481248,4925838,967
481649,4924459,975
481589,4925796,961
480747,4925799,963
481163,4925956,960
482054,4925972,964
480109,4926540,973
482062,4926706,962
483089,4925936,950
482180,4925942,964
483324,4925435,916
484051,4926573,932
484117,4926011,973
482063,4926232,958
484060,4926204,928
483677,4925834,951
480239,4929219,956
480604,4929169,953
480212,4929153,963
480469,4929194,967
480304,4929285,964
480393,4929345,956
481289,4929251,965
481293,4929318,960
481791,4929323,964
482864,4927789,954
482782,4926911,951
482064,4926885,960
483721,4929145,948
483789,4929159,952
484517,4926780,938
484122,4927036,945
483869,4929177,948
477663,4929974,951
477935,4929481,986
477940,4929483,970
477935,4929481,990
479120,4929597,969
479162,4929376,961
479258,4930499,964
479315,4929760,963
479722,4929815,970
479675,4929939,963
479553,4929435,963
480116,4930374,960
479276,4929960,930
477751,4931339,973
478121,4931999,952
477688,4931795,951
478370,4933027,964
479105,4931061,975
479424,4931426,957
479094,4931445,947
480063,4931777,959
479084,4932395,958
479142,4931997,972
480085,4932134,976
479234,4932609,954
480262,4929611,959
480860,4930002,946
480643,4929439,944
480934,4930331,962
481180,4930380,963
480384,4931125,964
480482,4931158,967
481023,4931220,956
480853,4931475,950
480445,4931755,960
480747,4931882,962
480747,4931575,961
480682,4931819,959
480797,4931679,969
480439,4931822,960
480253,4931901,957
480327,4931902,966
480472,4931972,962
480683,4932014,976
480339,4932016,983
480749,4932022,959
480159,4932029,962
480280,4932038,976
480715,4932086,948
480694,4932087,949
480551,4932096,951
480393,4932113,955
480243,4932119,978
480272,4932113,974
481086,4932441,961
480952,4932962,986
480574,4933025,964
480150,4933045,963
481061,4933374,964
481257,4931899,951
481800,4929413,950
481802,4931469,926
481924,4929455,961
482194,4931371,948
482907,4930656,939
483014,4931174,928
483128,4930212,952
483559,4931184,953
483873,4930756,945
483937,4931726,883
484481,4931431,938
484547,4930801,941
484237,4931526,948
484151,4931898,953
484242,4930031,943
484111,4931239,940
481578,4933487,949
481889,4932215,938
481987,4932229,958
482034,4932239,948
481789,4932429,948
481992,4932862,963
482015,4932994,962
482075,4932531,964
482254,4933065,955
482329,4933079,957
482385,4932171,955
482326,4933079,960
482811,4932439,954
483146,4933151,953
483719,4932946,957
484103,4932145,955
484204,4932395,952
487418,4924345,923
487404,4924442,929
487419,4924383,924
487324,4924418,930
487182,4924485,921
487204,4924509,925
486367,4924546,934
486171,4924591,933
487408,4924671,919
485023,4925304,947
485606,4925918,941
485981,4925916,948
487189,4925456,933
487177,4925234,927
487279,4925037,934
487271,4925457,934
487281,4924752,942
487301,4925784,928
487722,4925725,929
487881,4925732,928
487561,4925724,925
487948,4925900,928
488070,4924744,887
488007,4925596,906
488101,4924677,904
488201,4925207,914
490318,4924263,885
488232,4925023,886
488263,4924978,877
488221,4925821,918
488216,4925390,924
488229,4925004,886
488256,4925045,886
488251,4925004,885
488264,4925026,891
488279,4925008,884
488289,4925025,883
488586,4925605,918
488467,4925806,910
488295,4925228,911
488732,4925684,915
488866,4925903,897
489595,4925150,927
489644,4925132,920
489651,4925514,881
489676,4925302,901
489681,4925467,897
